順位,作品タイトル(続編物はある時点での名前になっています）,Twitterアカウント,フォロワー数
531,巨人族の花嫁,CFAnime_BL,24725
532,ガーリッシュ ナンバー,gn_staff,24630
533,ばらかもん,brkmn_anime,24618
534,ひなこのーと,hinakonote,24580
535,チート薬師のスローライフ～異世界に作ろうドラッグストア～,cheat_kusushi,24492
536,プラスティック・メモリーズ,pla_memo,24367
537,繰繰れ！コックリさん,gugukoku_anime,24328
538,マブラヴ オルタネイティヴ,Muv_Luv_A_anime,24266
539,ガールフレンド（仮）,gf_anime,24219
540,ケムリクサ,kemurikusa,24215
541,聖女の魔力は万能です,seijyonoanime,24169
542,放課後ていぼう日誌,teibo_bu,24098
543,異世界おじさん,Isekai_Ojisan,24071
544,月曜日のたわわ2,anime_tawawa2,24054
545,宝石商リチャード氏の謎鑑定,jeweler_richard,23853
546,有頂天家族２,Uchoten2_Anime,23777
547,荒野のコトブキ飛行隊,kotobuki_PR,23718
548,初恋モンスター,hatsukoi_M,23670
549,異世界美少女受肉おじさんと,fabiniku,23646
550,えんどろ～！,endro_anime,23634
551,サンリオ男子,Sdan_Anime,23618
552,甘々と稲妻,gidogakure,23538
553,あまんちゅ,amanchu_anime,23527
554,ID:INVADED イド:インヴェイデッド,idinvadedanim,23378
555,手品先輩,tejina_senpai,23370
556,てっぺんっ!!!!!!!!!!!!!!!,teppen_anime,23361
557,orange,AnimationOrange,23148
558,あたしゃ川尻こだまだよ～デンジャラスライフハッカーのただれた生活～,anime_kakeakami,23106
559,ジャヒー様はくじけない！,jahysama_anime,23090
560,回復術士のやり直し,kaiyari_anime,23050
561,うさかめ,nemumiwo,23024
562,ドラゴンズドグマ,DD_CAPCOM,23007
563,星合の空,hoshiaino_sora,22973
564,多田くんは恋をしない,tadakoi_anime,22957
565,サクラクエスト,manoyama_PR,22940
566,幸腹グラフィティ,koufuku_g,22892
567,アホガール,ahogirl_anime,22844
568,ましろのおと,mashironooto_pr,22799
569,神撃のバハムート VIRGIN SOUL,baha_virginsoul,22795
570,たとえばラストダンジョン前の村の少年が序盤の街で暮らすような物語,lasdan_PR,22771
571,精霊使いの剣舞,blade_anime,22767
572,理系が恋に落ちたので証明してみた。,rikeigakoini,22767
573,GANGSTA.,GANGSTA_Project,22643
574,プラチナエンド,ani_platinumend,22614
575,おちこぼれフルーツタルト,ochifuru_anime,22603
576,新妹魔王の契約者(テスタメント) ,shinmaimaou,22579
577,魔法少女サイト,MGSanime,22561
578,てさぐれ！部活もの すぴんおふ プルプルんシャルムと遊ぼう,tesabu,22451
579,ブレイドアンドソウル,bns_official_jp,22349
580,超人高校生たちは異世界でも余裕で生き抜くようです！,choyoyu_PR,22340
581,ルパン三世 PART5,Lupin_Pt5,22244
582,天使の3P！,tenshi3p_anime,22213
583,チキップダンサーズ,chickipdancers,22204
584,ネコぱら,nekopara_anime,22190
585,えとたま,etotama_anime,22177
586,かくりよの宿飯,kakuriyo_anime,22033
587,ゲッターロボ アーク,getterrobot_arc,21933
588,八十亀ちゃんかんさつにっき,yatogame_chan,21878
589,ファンタシースターオンライン2 ジ アニメーション,ANIME_PSO2,21666
590,怪獣娘(かいじゅうがーるず)～ウルトラ怪獣擬人化計画～,ultrakaiju_gk,21606
591,ステラのまほう,magicofstella_a,21597
592,賢者の弟子を名乗る賢者,kendeshi_anime,21450
593,アイドルマスター SideM 理由あってMini!,SideM_WakeMini,21387
594,てーきゅう(第4期),te_kyu,21370
595,宇宙パトロールルル子,s_p_luluco,21369
596,転生賢者の異世界ライフ ～第二の職業を得て、世界最強になりました～,tenseikenja_PR,21291
597,ひとりじめマイヒーロー,myhero_pr,21137
598,ノルン＋ノネット,norn9_anime,21126
599,サクガン,ANIMA_info,21092
600,くまみこ,kmmk_anime,21057
601,キミと僕の最後の戦場、あるいは世界が始まる聖戦,kimisen_project,21012
602,ブラック・ブレット,tv_BKB,21011
603,モンスター娘のいる日常,monmusu_tv,20988
604,骸骨騎士様、只今異世界へお出掛け中,gaikotsukishi,20950
605,千銃士,senjyushi_anime,20921
606,城下町のダンデライオン,dande_anime,20667
607,神達に拾われた男,kamihiro_anime,20602
608,最弱無敗の神装機竜(バハムート),saijaku_anime,20464
609,ドールズフロントライン,gf_animePR,20407
610,処刑少女の生きる道,VirginroadAnime,20169
611,ばくおん!!,bakuon_anime,20160
612,テイルズ オブ ゼスティリア ザ クロス,TOZtheX,20158
613,風夏,fuuka_anime,20134
614,セイレン,anime_seiren,20122
615,ナカノヒトゲノム【実況中】,nhg_anime,20070
616,ログ・ホライズン,nhk_loghorizon,20062
617,MARS RED,marsredtv,20041
618,トモダチゲーム,tomodachi_anime,20034
619,慎重勇者～この勇者が俺TUEEEくせに慎重すぎる～,shincho_yusha,20017
620,planetarian～ちいさなほしのゆめ～,planetarian_pj,19955
621,シャドウバース,shadowverse_anm,19928
622,文豪とアルケミスト 〜審判ノ歯車〜,Anime_BunAl,19843
623,iiiあいすくりん,iii_icecrin,19615
624,恋とプロデューサー〜EVOL×LOVE〜,koipro_anime,19568
625,彼方のアストラ,astra_anime,19485
626,エンドライド,endride_anime,19371
627,魔法少女育成計画,mahoiku_anime,19268
628,デビルズライン,devilslineanime,19248
629,恋と嘘,anime_koiuso,19236
630,さんかく窓の外側は夜,sankakumado_PR,19179
631,史上最強の大魔王、村人Aに転生する,murabitoA_anime,19112
632,超普通都市カシワ伝説R,kashiwaanime,19056
633,ハルチカ〜ハルタとチカは青春する〜,haruta_chika,19012
634,Sonny Boy,sonnyboy_anime,19002
635,ひとりぼっちの○○生活,bocchi_anime,18924
636,ローリング☆ガールズ,therollinggirls,18848
637,Re： ハマトラ,hamatora_PR,18839
638,僕らはみんな河合荘,anime_kawaisou,18823
639,薔薇王の葬列,baraou_anime,18822
640,ピアノの森,piano_anime_tv,18784
641,魔法使い黎明期,reimeiki_pr,18746
642,91Days,TV91Days,18699
643,クオリディア・コード,QUALIDEACODE,18691
644,鬼斬,onigiri_anime,18683
645,神々の悪戯,kamiaso_anime,18643
646,ミカグラ学園組曲,mikaguragakuen,18517
647,俺、ツインテールになります。,ore_twi_anime,18389
648,DEVILMAN crybaby,DevilmanCryBaby,18385
649,テラフォーマーズ,_terraformars,18277
650,うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,uchinoko_anime,18235
651,ケンガンアシュラ,kengankai,18234
652,俺だけ入れる隠しダンジョン,kakushidungeon,18213
653,ナイツ＆マジック,naitsuma_anime,18201
654,かぎなど,kaginado,18141
655,ラクエンロジック,luck_and_logic,18055
656,スケートリーディング☆スターズ,Skate_Leading,18015
657,舟を編む,funewoamu_anime,17983
658,ダンス・ダンス・ダンスール,danseur_anime,17934
659,三ツ星カラーズ,3boshi_anime,17892
660,はじめてのギャル,haji_GAL,17882
661,ダメプリ ANIME CARAVAN,damepri_anime,17863
662,ミイラの飼い方,miira_kaikata,17782
663,ストライクウィッチーズ ROAD to BERLIN,RtbWitch,17777
664,平穏世代の韋駄天達,idaten_anime,17759
665,怪病医ラムネ,Dr_Ramune,17718
666,恋は雨上がりのように,koiame_anime,17633
667,聖闘士星矢: Knights of the Zodiac,saintseiyaanime,17551
668,乙女ゲー世界はモブに厳しい世界です,mobseka_anime,17549
669,フルメタル・パニック！ Invisible Victory,fullmeta_iv,17528
670,ギャルと恐竜,galkyo_info,17392
671,甘城ブリリアントパーク,amaburiANIME,17371
672,地球外少年少女,Chikyugai_BG,17359
673,アニマエール！,animayell_anime,17329
674,ムヒョとロージーの魔法律相談事務所,mahouritsuanime,17297
675,学園BASARA,gakuen_basara,17297
676,すのはら荘の管理人さん,sunohara_anime,17267
677,このはな綺譚,konohana_anime,17150
678,賢者の孫,kenja_no_mago,17135
679,閃乱カグラ SHINOVI MASTER -東京妖魔篇-,kagura_tv,17090
680,私、能力は平均値でって言ったよね！,noukin_anime,17089
681,フットサルボーイズ!!!!!,futsal_boys,16988
682,バッテリー,battery_anime,16815
683,デジモンユニバース アプリモンスターズ：アプモン,appmon_official,16803
684,境界のRINNE,nhk_rinne,16800
685,イエスタデイをうたって,anime_yesterday,16766
686,荒ぶる季節の乙女どもよ。,araotoproject,16752
687,うちのメイドがウザすぎる！,uzamaid_a,16720
688,はるかなレシーブ,harukana_anime,16718
689,私がモテてどうすんだ,anime_watamote,16710
690,蟲師 続章 (後半エピソード),mushishi_anime,16653
691,プランダラ,plundereranime,16642
692,連盟空軍航空魔法音楽隊ルミナスウィッチーズ,LuminousWitch,16638
693,ISLAND,island_fw,16593
694,ボールルームへようこそ,ballroom_anime,16567
695,EX-ARM エクスアーム,exarm_official,16524
696,やくならマグカップも,yakumo_project,16405
697,武装少女マキャヴェリズム,machiave_anime,16403
698,みだらな青ちゃんは勉強ができない,aochan_anime,16375
699,徒然チルドレン,tsuredure_anime,16327
700,刻刻,geno_studio,16293
701,オオカミ少女と黒王子,ookamishojo_tv,16227
702,GETUP! GETLIVE! #げらげら,GETUP_GETLIVE,16225
703,アブソリュート・デュオ,abso_official,16219
704,俺物語!!,anime_ore,16195
705,ゼロから始める魔法の書,zeronosyo,16157
706,下ネタという概念が存在しない退屈な世界,shimoseka,16095
707,黒の召喚士,kuronoshokanshi,16072
708,アサシンズプライド,assassins_anime,16014
709,CUE!,cue_anime,15863
710,クロスアンジュ 天使と竜の輪舞,anime_crossange,15835
711,博多豚骨ラーメンズ,hakata_tonkotsu,15826
712,弾の王と戦姫,madan_anime,15787
713,乱歩奇譚 Game of Laplace,rampokitan,15763
714,LOVE STAGE!!,LOVESTAGE_TV,15749
715,ヒナまつり,hinamatsuri4649,15713
716,ログ・ホライズン 円卓崩壊,loghorizon_DORT,15680
717,恋と呼ぶには気持ち悪い,koikimo_anime,15605
718,十二大戦,12taisen,15581
719,つぐもも,tsugumomo_anime,15486
720,メガトン級ムサシ,musashi_project,15473
721,少年メイド,ShonenMaid,15458
722,デンキ街の本屋さん,anime_denkigai,15451
723,Occultic;Nine-オカルティック・ナイン-,occultic_nine,15420
724,ミュークルドリーミー,mewkle_a,15255
725,銃皇無尽のファフニール,fafnir_anime,15253
726,進化の実～知らないうちに勝ち組人生～,shinkanomianime,15235
727,池袋ウエストゲートパーク,iwgp_anime,15215
728,ひそねとまそたん,hisomaso_anime,15184
729,俺がお嬢様学校に「庶民サンプル」としてゲッツ♥された件,anime_syomin,15160
730,グレイプニル,gleipnir_anime,15151
731,けものフレンズ2,kemono_anime,15064
732,ディバインゲート,divine_anime,14999
733,バック・アロウ,backarrow_info,14952
734,境界戦機,kyoukai_senki,14894
735,ゾイドワイルド,anime_zoidswild,14887
736,RPG不動産,rpgrs_anime,14870
737,真の仲間じゃないと勇者のパーティーを追い出されたので、辺境でスローライフすることにしました,shinnonakama_tv,14785
738,おしえて！ギャル子ちゃん,galko_official,14777
739,BIRDIE WING -Golf Girls’ Story-,birdiewing_golf,14774
740,BASTARD!!―暗黒の破壊神―,bastard_PR,14697
741,クジラの子らは砂上に歌う,kujisuna_anime,14684
742,緋弾のアリアAA,ariaAA_anime,14599
743,しょうたいむ！～歌のお姉さんだってしたい～,af_originalMENS,14572
744,最果てのパラディン,faraway_paladin,14506
745,リアデイルの大地にて,leadale_anime,14502
746,はねバド！,hanebad_anime,14419
747,うどんの国の金色毛鞠,udonnokuni_tv,14399
748,なんでここに先生が!?,nankoko_anime,14369
749,ソウナンですか？,sounan_desuka,14363
750,ソラとウミのアイダ,soraumi_app,14356
751,少年ハリウッド,shohari_anime,14296
752,少女たちは荒野を目指す,shokomeza,14292
753,オルタンシア・サーガ,Hortensia_Anime,14240
754,宇宙なんちゃら こてつくん,space__academy,14233
755,であいもん,deaimon_anime,14188
756,ガッチャマン クラウズ インサイト,GATCHAMANCrowds,14095
757,グラスリップ,glasslip_anime,14028
758,体操ザムライ,taiso_samurai,14015
759,出会って5秒でバトル,dea5_anime,13970
760,うーさーのその日暮らし 夢幻編,PR_wooser,13958
761,学園ハンサム,animehandsome,13904
762,MIX,mix_ytvanime,13874
763,おくさまが生徒会長！,anime_okusama,13859
764,ガーリー・エアフォース,GAF_anime,13844
765,球詠,tamayomi_PR,13839
766,ビルディバイド-#000000-,build_divide,13790
767,空挺ドラゴンズ,kuteidragons_PR,13774
768,覆面系ノイズ,fukumenkeianime,13766
769,火ノ丸相撲,hinomaru_zumou,13759
770,魔法少女 俺,magicalgirl_ore,13727
771,デカダンス,decadence_anime,13694
772,ビッグオーダー,mirai_nikki,13660
773,ハナビちゃんは遅れがち,hnb_off,13642
774,天地創造デザイン部,tendebu_PR,13619
775,チア男子!!,cheer_boys,13572
776,ノラと皇女と野良猫ハート,noratoto_anime,13567
777,バビロン,babylon_anime,13511
778,異世界チート魔術師マジシャン,isekai_cheat_tv,13499
779,俺が好きなのは妹だけど妹じゃない,imoimo_anime,13468
780,ハクメイとミコチ,hakumikotv,13396
781,極黒のブリュンヒルデ,gokukoku_anime,13346
782,ドラゴン、家を買う。,anime_doraie,13331
783,サクラダリセット,sagrada_anime,13326
784,sin 七つの大罪,7sins_tv,13288
785,波よ聞いてくれ,namiyo_official,13266
786,金装のヴェルメイユ～崖っぷち魔術師は最強の厄災と魔法世界を突き進む～,vermeil_animePR,13221
787,鹿楓堂 よついろ日和,RokuhoudouAnime,13195
788,大図書館の羊飼い,daito_anime,13105
789,ばなにゃ,bananya_anime,13105
790,捏造トラップ−NTR−,NetsuzouTRap,13062
791,BEATLESS,BEATLESS_info,13052
792,ニル・アドミラリの天秤,nilad_anime,13023
793,それが声優！,soresei_anime,12980
794,八男って、それはないでしょう！,Hachinan_PR,12966
795,クロムクロ,KUROMUKURO_UNKL,12948
796,デスマーチからはじまる異世界狂想曲,deathma_anime,12915
797,ガイコツ書店員 本田さん,gai_honda,12890
798,織田シナモン信長,oda_shinamon,12880
799,終末のイゼッタ,izetta2016,12865
800,DIVE!!,dive_anime,12865
801,迷家‐マヨイガ‐,mayoiga_project,12849
802,魔王様、リトライ！,maousama_anime,12790
803,ピーチボーイリバーサイド,peachboy_anime,12701
804,モンスターハンターストーリーズ　RIDE ON,MHST_RIDEON,12668
805,とんかつDJアゲ太郎,tonkatsu_DJ,12609
806,新サクラ大戦,anime_sst,12593
807,ソマリと森の神様,somali_anime,12554
808,悪魔のリドル,akuma_riddle,12522
809,ブギーポップは笑わない,boogiepop_anime,12496
810,神クズ☆アイドル,kamikuzu_PR,12476
811,おしえて魔法のペンデュラム～リルリルフェアリル～,rilurilu_anime,12447
812,クロックワーク・プラネット,ClockworkAnime,12430
813,Code:Realize～創世の姫君～,cr_anime,12403
814,同居人はひざ、時々、頭のうえ。,hizaue_pr,12399
815,ニンジャスレイヤー フロムアニメイシヨン,NJSLYR_anime,12253
816,セブンナイツ レボリューション -英雄の継承者-,SenaRevo_anime,12178
817,歌舞伎町シャーロック,pipecat_kabuki,12161
818,消滅都市,anime_shoumetsu,12119
819,放課後さいころ倶楽部,saikoro_club,12101
820,メガロボクス,joe50_megalobox,12100
821,DOG DAYS″,dogdays_anime,12099
822,ROLY POLY PEOPLES,rpp_rolypi,12024
823,惑星のさみだれ,AnimeSamidare,11923
824,僕の彼女がマジメ過ぎるしょびっちな件,shobicchi_anime,11919
825,ぐらP＆ろで夫,grap_rodeo,11867
826,アフリカのサラリーマン,afusara_P,11821
827,number24,number24_anime,11732
828,マナリアフレンズ,manaria_friends,11728
829,ハッカドール THE あにめ～しょん,Hackadoll_anime,11682
830,海賊王女,fena_pirate,11669
831,さばげぶっ！,sabagebu_anime,11629
832,ベルゼブブ嬢のお気に召すまま。,beelmama_anime,11625
833,ヘヴィーオブジェクト,ho_anime,11478
834,空戦魔導士候補生の教官,kusen_official,11448
835,北斗の拳イチゴ味,hokuto_15aji,11439
836,競女!!!!!!!!,keijo_anime,11427
837,キャプテン翼,tsubasa_news,11348
838,ネト充のススメ,netoju_anime,11317
839,ブッチギレ！,Bucchigire,11314
840,警視庁 特務部 特殊凶悪犯対策室 第七課 -トクナナ-,tokunana_PR,11299
841,寄生獣 セイの格率,kiseiju_anime,11286
842,フリップフラッパーズ,FLIP_FLAPPERS,11265
843,NOBLESSE -ノブレス-,noblesse_jp,11265
844,スペース☆ダンディ シーズン2,space_dandy,11198
845,タイガーマスクW,TigerMaskW,11172
846,世界征服～謀略のズヴィズダー,project_ssf,11161
847,ろんぐらいだぁす！,animelongriders,11160
848,アルテ,arte_animation,11148
849,異世界薬局,isekai_yakkyoku,11147
850,装神少女まとい,matoi_anime,11134
851,真夜中のオカルト公務員,occultkoumuin,11049
852,なむあみだ仏っ！-蓮台 UTENA-,namu_anime,11039
853,信長の忍び,shinobinobunaga,11026
854,このヒーラー、めんどくさい,kono_healer,11019
855,Caligula -カリギュラ-,Caligula_Anime,11003
856,DYNAMIC CHORD,anime__DC,10940
857,天晴爛漫！,appareranman,10926
858,アリスと蔵六,alicetozouroku,10904
859,WAVE!!～サーフィンやっぺ！～,WAVE_animation,10880
860,牙狼〈GARO〉-炎の刻印-,anime_garo,10871
861,この世の果てで恋を唄う少女YU-NO,yuno_anime2019,10776
862,わかば＊ガール,wakaba_anime,10764
863,放課後のプレアデス,sbr_gx,10711
864,OBSOLETE(オブソリート),obsolete_anime,10704
865,長門有希ちゃんの消失,yukichan_anime,10673
866,ウィッチクラフトワークス,Witch_CW_anime,10654
867,櫻子さんの足下には死体が埋まっている,SakurakoKujo,10598
868,ぼくのとなりに暗黒破壊神がいます。,bokuhaka_anime,10560
869,LISTENERS リスナーズ,listeners_PR,10516
870,ガル学。〜聖ガールズスクエア学院〜,garugaku,10507
871,DOUBLE DECKER! ダグ＆キリル,dabudeka,10459
872,怪人開発部の黒井津さん,kuroitsusan,10397
873,スカーレッドライダーゼクス,SRX_LAG_PR,10354
874,対魔導学園35試験小隊,35shoutai_info,10352
875,はんだくん,handaanime,10244
876,バチカン奇跡調査官,kisekichosakan,10232
877,四月一日さん家の,watanukisanchi,10224
878,ブブキ・ブランキ,bbkbrnk,10211
879,BAKUMATSU ～恋愛幕末カレシ外伝～,BAKUMATSU_info,10206
880,インフィニット・デンドログラム,dendro_anime,10144
881,たくのみ。,anime_takunomi,10113
882,戦×恋(ヴァルラヴ),val_love_pr,10107
883,恋愛暴君,boukun_PR,10071
884,DRAMAtical Murder,dmmd_TV_PR,9993
885,神撃のバハムート GENESIS,bahamut_genesis,9929
886,モンスター娘のお医者さん,mon_isha_anime,9861
887,群れなせ！シートン学園,anime_seton,9855
888,地獄少女 宵伽,jigokuanime,9806
889,ひもてはうす,himotehouse,9797
890,プレイタの傷,pj_scard,9780
891,六畳間の侵略者！？,anime_6joma,9777
892,ハンドレッド,hundred_PR,9713
893,魔術士オーフェンはぐれ旅,orphen25_tv,9683
894,revisions リヴィジョンズ,revisions_PR,9662
895,上野さんは不器用,missueno_anime,9625
896,かつて神だった獣たちへ,katsukami_anime,9547
897,SDガンダムワールド ヒーローズ,SD_GUNDAM_WORLD,9477
898,NIGHT HEAD 2041,nighthead2041,9458
899,いぬやしき,inu_noitamina,9315
900,彼女がフラグをおられたら,gaworare_TV,9314
901,AKIBA’S TRIP -THE ANIMATION-,akibastripanime,9299
902,月とライカと吸血姫,LAIKA_anime,9223
903,エルドライブ【ēlDLIVE】,eldlive_tv,9208
904,人生,jinsei_anime,9180
905,薄桜鬼～御伽草子～,hakuoki_otogi,9180
906,Vivid Strike!,vivid_strike_,9174
907,pet,pet_anime,9173
908,金色のコルダ Blue Sky,corda_anime,9041
909,六花の勇者,rokka_anime,8970
910,魔法少女リリカルなのはViVid,vivid_tv,8964
911,Fairy蘭丸～あなたの心お助けします～,FairyRanmaru,8943
912,魔装学園HxH(ハイブリッドハート),masouhhanime,8942
913,ぐんまちゃん,gunmachan_info,8928
914,レーカン！,re_kan_anime,8888
915,血液型くん！2,ketsuekigatakun,8871
916,女神寮の寮母くん。,megamiryou,8839
917,バミューダトライアングル ～カラフル・パストラーレ～,colopale,8838
918,3D彼女 リアルガール,3Dkanojo_anime,8824
919,SCARLET NEXUS,SNX_ANIME,8799
920,スクールガールストライカーズ Animation Channel,sgs_anime,8781
921,グランベルム,granbelm,8765
922,TRICKSTER -江戸川乱歩「少年探偵団」より-,trickster_anime,8708
923,にゃんこデイズ,nyanko_days,8708
924,ミス・モノクローム-The Animation-(第2期),monochro_staff,8684
925,ちおちゃんの通学路,Chiochan_tv,8661
926,はがねオーケストラ,haganeokstr,8655
927,ピンポン,pingpong_anime,8638
928,180秒で君の耳を幸せにできるか?,180Kimimimi,8563
929,龍ヶ嬢七々々の埋蔵金,nanana_tv,8550
930,旗揚！けものみち,hatakemoanime,8527
931,棺姫のチャイカ,ChaikaTrabant,8490
932,Dies Irae(ディエス・イレ),diesirae_anime,8475
933,だんちがい,anime_danchi,8431
934,擾乱　THE PRINCESS OF SNOW AND BLOOD,joran_official,8414
935,パンチライン,punchline_pj,8312
936,レガリア The Three Sacred Stars,regalia_anime,8297
937,タブー・タトゥー,tabootattoo_ani,8215
938,喧嘩番長 乙女-Girl Beats Boys-,kbo_anime,8191
939,俺、つしま,tsushima_anime,8189
940,伊藤潤二「コレクション」,itojunji_anime,8183
941,こねこのチー ポンポンらー大冒険,chi_ssweethome,8179
942,洗い屋さん！～俺とアイツが女湯で!?～,CFAnime_MENS,8172
943,叛逆性ミリオンアーサー,hangyakuseiMAAN,8166
944,ベイビーステップ 第2シリーズ,nhk_babysteps,8146
945,Fairy goneフェアリーゴーン,fairygone,8114
946,メルヘン・メドヘン,maerchen_anime,8088
947,アンジュ・ヴィエルジュ,ange_anime,8076
948,コンクリート・レボルティオ～超人幻想～,conrevoinfo,8073
949,チェインクロニクル ヘクセイタスの閃(ひかり),ChroAnime,8028
950,シキザクラ,ShikizakuraA,8005
951,7SEEDS,7SEEDS_anime,7978
952,七星のスバル,7subaru_anime,7959
953,ひなろじ ～from Luck & Logic～,HinaLogic,7940
954,ぶらどらぶ,VLADLOVE_ANIME,7904
955,実は私は,jitsuwata_anime,7897
956,京都寺町三条のホームズ,teramachi_holme,7897
957,重神機パンドーラ,unit_pandora,7830
958,ハンドシェイカー,hs_p_info,7821
959,紅殻のパンドラ,kpandora_anime,7814
960,ねじ巻き精霊戦記 天鏡のアルデラミン,alderamin_anime,7788
961,いわかける！ - Sport Climbing Girls -,iwakakeru_anime,7763
962,正解するカド KADO: The Right Answer,Seikaisuru_Kado,7755
963,グランクレスト戦記,grancrest_anime,7731
964,BEM,newbem2019,7727
965,アイドル事変,idol_jihen,7693
966,Infini-T Force(インフィニティフォース),Infini_TForce,7688
967,シュート！Goal to the Future,shoot_anime,7655
968,BLUE REFLECTION RAY/澪,BRRAY_anime,7654
969,腐男子高校生活,anime_fudanshi,7635
970,魔法少女なんてもういいですから。,mouii_desukara,7630
971,CHAOS;CHILD,chaoch_anime,7625
972,デス・パレード,dp_anime,7606
973,天狼 Sirius the Jaeger,sirius_anime,7586
974,まじもじるるも,animerurumo,7576
975,人外さんの嫁,jingaisan_yome,7555
976,妖怪アパートの幽雅な日常,YouapaAnime,7502
977,オレん家のフロ事情,orefuroTV,7497
978,コップクラフト,anime_copcraft,7470
979,プラネット・ウィズ,PlanetWithAnime,7452
980,ナナマル サンバツ,7o3x_anime,7438
981,Extreme Hearts,exh_official,7361
982,Phantom in the Twilight,phantowa_anime,7284
983,宇宙戦艦ティラミス,tiramisu_anime,7181
984,ハクション大魔王２０２０,hakushon_ytv,7180
985,石膏ボーイズ,sekkoboys,7168
986,アトム ザ・ビギニング,atomtb_anime,7137
987,真・中華一番！第二期,shin_chuichi,7102
988,12歳。～ちっちゃなムネのトキメキ～ セカンドシーズン,12sai_PR,7101
989,Classroom☆Crisis,clcr_project,7092
990,異世界居酒屋 古都アイテーリアの居酒屋のぶ,isekaiizakaya,7086
991,星刻の竜騎士,doragner_anime,7008
992,将国のアルタイル,pj_altair,6996
993,18if,18if_anime,6992
994,ヒーラー・ガール,HealerGirlAnime,6978
995,おしえて北斎！‐THE ANIMATION-,hokusai_anime,6936
996,ランス・アンド・マスクス,anime_lance,6927
997,胡蝶綺 ～若き信長～,wakanobu_anime,6927
998,LOST SONG,lostsonganime,6921
999,迷宮ブラックカンパニー,meikyubc_anime,6919
1000,神田川JET GIRLS,kjgpjt,6907
1001,あかねさす少女,akanesasu_shojo,6903
1002,UQ HOLDER!～魔法先生ネギま！2～,UQHOLDER_anime,6895
1003,世界の終わりに柴犬と,sekashiba_anime,6894
1004,魔法戦争,anime_mahosen,6829
1005,ありすorありす,ALICE_or_ALICE_,6751
1006,RAIL WARS!,rw_anime,6743
1007,厨病激発ボーイ,chubyou_p,6709
1008,キャプテン・アース,CaptainEarth_PR,6666
1009,シュヴァルツェスマーケン,schwaken_anime,6662
1010,戦国鳥獣戯画,SENGOKUCHOJYU,6630
1011,奇異太郎少年の妖怪絵日記,kiitaro_anime,6562
1012,バジリスク～桜花忍法帖～,basiliskouka,6551
1013,潔癖男子！青山くん,megane_sinsi_z,6549
1014,百錬の覇王と聖約の戦乙女,hyakuren_anime,6536
1015,ちみも,chimimo_anime,6530
1016,サムライフラメンコ,samumenco,6526
1017,あにトレ！XX～ひとつ屋根の下で～,anitore_ex,6506
1018,すべてがFになる THE PERFECT INSIDER,f_noitamina,6505
1019,キラキラハッピー★ ひらけ！ここたま,anime_cocotama,6504
1020,深夜！天才バカボン,shinya_bakabon,6498
1021,南鎌倉高校女子自転車部,minakama_anime,6476
1022,無限の住人-IMMORTAL-,mugen_immortal,6474
1023,W'z(ウィズ),wz_anime,6453
1024,あおおに ～じ・あにめぇしょん～,aooni_anime,6430
1025,グリムノーツ The Animation,grimmsnotes_ta,6419
1026,中間管理録トネガワ,Tonegawa_Anime,6344
1027,カブキブ！,kabukibu,6342
1028,つうかあ,twocartv,6340
1029,ワガママハイスペック,wagamamahs,6315
1030,枕男子,makuranodanshi,6313
1031,旦那が何を言っているかわからない件,anime_danna,6288
1032,音楽少女,ongaku_shoujo,6229
1033,ヴァルキリードライヴ マーメイド,valkyriedrive,6223
1034,コメット・ルシファー,cometlucifer,6219
1035,ノー・ガンズ・ライフ,noguns_anime,6172
1036,逆転世界ノ電池少女,denchi_project,6117
1037,ロボットガールズZプラス,robot_girls_z,6102
1038,影鰐 KAGEWANI,anime_kagewani,6068
1039,INGRESS THE ANIMATION,IngressAnime,6029
1040,働くお兄さん！,hataoni,6013
1041,ライフル・イズ・ビューティフル,rib_anime,5970
1042,あっくんとカノジョ,akkano_anime,5963
1043,Dimension W,Dimension_W,5952
1044,クラシカロイド,nhkclassicaloid,5885
1045,CONCEPTION,conceptionanime,5878
1046,キングスレイド 意志を継ぐものたち,kingsraid_anime,5790
1047,Butlers～千年百年物語～,butlers_anime,5776
1048,ちるらん にぶんの壱,chiruran_anime,5752
1049,エガオノダイカ,egaonodaika,5684
1050,お酒は夫婦になってから,osakefufu,5657
1051,ユリシーズ ジャンヌ・ダルクと錬金の騎士,anime_ulysses,5596
1052,女子かう生,joshikau_anime,5592
1053,大家さんは思春期！,ooyasan_anime,5584
1054,キリングバイツ,KB_anime,5573
1055,犬神さんと猫山さん,anime_inuneko,5568
1056,錆色のアーマ-黎明-,armors_anime,5555
1057,あいまいみー第二幕！,anime_aimaimi,5503
1058,いたずらぐまのグル～ミ～,official_gloomy,5503
1059,されど罪人は竜と踊る,sareryu_anime,5471
1060,ノブナガ先生の幼な妻,nobutsuma_anime,5461
1061,真・一騎当千,Animeikkitousen,5438
1062,咲う アルスノトリア すんっ！,arsno_anime,5427
1063,トライナイツ,try_knights,5403
1064,ヤング ブラック・ジャック,anime_ybj,5342
1065,魔法少女特殊戦あすか,MGSO_asuka,5338
1066,雨色ココア Rainy Colorへようこそ！(第2期),rainy_cocoa,5329
1067,B: The Beginning,b_the_beginning,5297
1068,王様ゲーム The Animation,kingsgame_pr,5295
