順位,作品タイトル(続編物はある時点での名前になっています）,Twitterアカウント,フォロワー数
118,ダーリン・イン・ザ・フランキス,DARLI_FRA,138677
119,魔入りました！入間くん,wc_mairuma,137593
120,キラッとプリ☆チャン,prichan_PR,136826
121,D4DJ First Mix,D4DJ_pj,135906
122,ゆるゆり さん☆ハイ！,anime_yuruyuri,135747
123,A3! SEASON SPRING & SUMMER,mankai_anime,133589
124,メルクストーリア - 無気力少年と瓶の中の少女 -,merc_storia,133387
125,NEW GAME!,nganime,133146
126,古見さんは、コミュ症です。,comisanvote,132014
127,戦姫絶唱シンフォギアGX,SYMPHOGEAR,131944
128,リコリス・リコイル,lycoris_recoil,131422
129,幼なじみが絶対に負けないラブコメ,osamake_project,131122
130,カードファイト!!ヴァンガードG NEXT,cfvanguard_PR,130766
131,ダイヤのA actII,diaace_anime,130519
132,遊☆戯☆王VRAINS(ヴレインズ),yugioh_anime,130444
133,SSSS.DYNAZENON,SSSS_PROJECT,130439
134,カッコウの許嫁,cuckoo_anime,127647
135,ひぐらしのなく頃に,higu_anime,123624
136,プリズマ☆イリヤ 2wei!,prisma_illya,123084
137,takt op.Destiny,takt_op_destiny,122794
138,王様ランキング,osama_ranking,122025
139,K RETURN OF KINGS,anime_k11,122003
140,B-PROJECT～絶頂*エモーション～,BPRO_anime,120781
141,ちいかわ,anime_chiikawa,119333
142,Obey Me!,ObeyMeOfficial,118112
143,アサルトリリィ Bouquet,assaultlily_pj,117960
144,ルパン三世 PART6,lupin_anime,117264
145,まちカドまぞく,machikado_staff,115885
146,ガンダムブレイカー バトローグ,ggame_gbm,115335
147,鬼灯の冷徹 第弐期,hozuki_anime,114695
148,乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…,hamehura,114445
149,ニセコイ,nisekoi_k,113625
150,ひげを剃る。そして女子高生を拾う。,higehiro_anime,112256
151,ARGONAVIS from BanG Dream!,ARGONAVIS_info,111785
152,ブラッククローバー,bclover_PR,109408
153,うらみちお兄さん,uramichi_anime,109389
154,ノラガミ,noragami_PR,109081
155,ハロー!!きんいろモザイク,kinmosa_anime,108819
156,殺戮の天使,strk_tenshi,108556
157,WORKING!!!,Wagnaria,107901
158,もっと！まじめにふまじめ かいけつゾロリ 第2シリーズ,zororizz,107467
159,ソードアート・オンライン オルタナティブ ガンゲイル・オンライン,ggo_anime,106980
160,ヴァニタスの手記,vanitas_anime,106827
161,はたらく魔王さま！！,anime_maousama,106823
162,ツキウタ。 THE ANIMATION,tsukiani_info,106309
163,ツルネ ―風舞高校弓道部―,tsurune_anime,105897
164,Fate/Apocrypha,FateApocryphaTV,105781
165,純情ロマンチカ3,marukawashoten,105776
166,イナズマイレブン オリオンの刻印,inazuma_project,105288
167,魔王学院の不適合者～史上最強の魔王の始祖、転生して子孫たちの学校へ通う～,maohgakuin,104759
168,ヘタリア World★Stars,animehetalia_ws,102275
169,カノジョも彼女,kanokano_anime,101148
170,3月のライオン,3lion_anime,101105
171,斉木楠雄のΨ難,saikikusuo_PR,100456
172,SHIROBAKO,shirobako_anime,100327
173,吸血鬼すぐ死ぬ,johnwakawaii,99360
174,機動戦士ガンダムユニコーン RE:0096,gundam_unicorn,98730
175,憂国のモリアーティ,moriarty_anime,97797
176,盾の勇者の成り上がり,shieldheroanime,95975
177,トニカクカワイイ,tonikawa_anime,95959
178,抱かれたい男1位に脅されています。,dakaretai_1st,95567
179,先輩がうざい後輩の話,uzai_anime,94381
180,ブルーピリオド,blueperiod_PR,94260
181,食戟のソーマ,shokugeki_anime,94210
182,バトルガール ハイスクール,bgirl_colopl,93412
183,富豪刑事 Balance:UNLIMITED,fugoukeiji_bul,92499
184,政宗くんのリベンジ,masamune_tv,92222
185,明日ちゃんのセーラー服,AKEBI_chan,89946
186,キミとフィットボクシング,FitBoxingInfo,89571
187,魔道祖師,mdzsjp,89174
188,SHAMAN KING,SHAMANKING_PR,88333
189,青の祓魔師 京都不浄王篇,aoex_anime,87229
190,よふかしのうた,yofukashi_pr,87151
191,干物妹！うまるちゃん,umaru_anime,86780
192,PERSONA5 the Animation,P5_anime,86661
193,魔女の旅々,majotabi_PR,86085
194,幼女戦記,youjosenki,85815
195,ディープインサニティ ザ・ロストチャイルド,deepinsanity_pj,85451
196,血界戦線,kekkaisensen,85246
197,はいふり,hai_furi,84709
198,ありふれた職業で世界最強,ARIFURETA_info,84167
199,"DIABOLIK LOVERS MORE,BLOOD",anime_dialover,83514
200,月刊少女野崎くん,nozaki_anime,83505
201,継母の連れ子が元カノだった,tsurekano,83307
202,美男高校地球防衛部LOVE!,boueibu,82943
203,四月は君の嘘,shigatsuhakimi,82648
204,SSSS.GRIDMAN,SSSS_GRIDMAN,82569
205,結城友奈は勇者である,anime_yukiyuna,82517
206,KING OF PRISM -Shiny Seven Stars-,kinpri_PR,82307
207,イケメン戦国◆時をかけるが恋は始まらない,Cyikemensengoku,81692
208,ヴィジュアルプリズン,visualprison,81625
209,BEASTARS,bst_anime,81322
210,異世界かるてっと,isekai_quartet,80437
211,シャドーハウス,shadowshouse_yj,80408
212,魔法使いの嫁,mahoyomeproject,80401
213,STEINS;GATE 0(シュタインズ・ゲート ゼロ),SG_anime,80290
214,D_CIDE TRAUMEREI THE ANIMATION,dctm_pj,79316
215,アイドルランドプリパラ,idolland_arts,79118
216,怪物事変(けものじへん),Kemonojihen_tv,79041
217,ストライク・ザ・ブラッド,stb_anime,78834
218,がっこうぐらし,gakkou_gurashi,78592
219,やがて君になる,yagakimi,78440
220,見える子ちゃん,mierukochan_PR,78064
221,キングダム 第3シリーズ,kingdom_animePR,77590
222,ヲタクに恋は難しい,wotakoi_anime,77249
223,甲鉄城のカバネリ,anime_kabaneri,77052
224,痛いのは嫌なので防御力に極振りしたいと思います。,bofuri_anime,76197
225,宇崎ちゃんは遊びたい!,uzakichan_asobi,75669
226,SHOW BY ROCK!!,SB69A,75577
227,Fate/EXTRA Last Encore,FateEXTRA_LE,75477
228,私に天使が舞い降りた！,watatentv,75247
229,弱キャラ友崎くん,tomozakikoshiki,75069
230,宝石の国,houseki_anime,74948
231,アニメ カピバラさん,FROM_TRYWORKS,74233
232,戦刻ナイトブラッド,senbura_info,74113
233,最遊記RELOAD -ZEROIN-,saiyuki_re,73943
234,Lapis Re:LiGHTs(ラピスリライツ),lapisrelights,73818
235,バクテン!!,bakuten_pr,73636
236,アズールレーン,azurlane_anime,73289
237,佐々木と宮野,sasamiya_anime,71467
238,D.Gray-man HALLOW,dgrayman_anime,71077
239,スタミュ,hstar_mu,70292
240,To LOVEる-とらぶる-ダークネス 2nd,toloveru_com,69640
241,ドラゴンクエスト ダイの大冒険,DQ_DAI_anime,69507
242,凪のあすから,naginoasukara,67667
243,阿波連さんははかれない,aharen_pr,67518
244,白い砂のアクアトープ,aquatope_anime,67274
245,ドリフェス！,dfes_official,67155
246,がんばれ同期ちゃん,anime_douki,66855
247,平家物語,heike_anime,66753
248,うたの☆プリンスさまっ♪ マジLOVEスターリッシュツアーズ ～旅の始まり～,utapriMAJILOVE,66656
249,ブレンド・S,blend_s_anime,66599
250,邪神ちゃんドロップキック,jashinchan_PJ,65692
251,ハイスクールDxD BorN,hdd_anime,65620
252,赤髪の白雪姫,akagami_anime,65541
253,天官賜福,tgcf_anime,65511
254,オッドタクシー,oddtaxi_,65239
255,蒼穹のファフナー EXODUS,fafnerproject,64041
256,寄宿学校のジュリエット,juliet_anime,63233
257,イジらないで、長瀞さん,nagatoro_tv,62997
258,宇宙よりも遠い場所,yorimoi,62920
259,ぼくたちは勉強ができない,bokuben_anime,62917
260,魔王城でおやすみ,maoujo_anime,62653
261,殺し愛,LoveofKill_info,61975
262,スライム倒して300年、知らないうちにレベルMAXになってました,slime300_PR,61178
263,夜は猫といっしょ,yoruneko_PR,60287
264,うたわれるもの 偽りの仮面,UtawareOfficial,59813
265,映像研には手を出すな！,Eizouken_anime,59716
266,どろろ,dororo_anime,57198
267,スタンドマイヒーローズ PIECE OF TRUTH,myhero_anime,56835
268,ガヴリールドロップアウト,gabdroanime,56582
269,アグレッシブ烈子 シーズン2,retsuko_sanrio,56116
270,サマータイムレンダ,summertime_PR,56088
271,Vivy -Fluorite Eyeʼs Song-,vivy_portal,55776
272,マギ シンドバッドの冒険,project_magi,55362
273,攻殻機動隊 SAC_2045,gitssac2045,55231
274,ガンダムビルドファイターズ,buildfighters,55066
275,ヘタリア The World Twinkle,animehetalia,54956
276,蜘蛛ですが、なにか？,kumoko_anime,54739
277,新幹線変形ロボ シンカリオンＺ,shinkalion,54415
278,EDENS ZERO,EDENSZERO_PJ,54364
279,アルスラーン戦記,arslan_anime,54353
280,ACCA13区監察課,ACCA_anime,54284
281,それでも歩は寄せてくる,soreayu_staff,54222
282,りばあす(Reバース),Rebirth_PR,54129
283,プリンセス・プリンシパル,pripri_anime,53915
284,Engage Kiss,engage_kiss,53437
285,キルラキル,kill_la_kill,53293
286,ロード・エルメロイⅡ世の事件簿 -魔眼蒐集列車レール・ツェッペリン Grace note-,elmelloi_anime,53148
287,TSUKIPRO THE ANIMATION,tsukipro_anime,53028
288,本好きの下剋上 司書になるためには手段を選んでいられません,anime_booklove,52781
